Node,WiD1,WiD2,WiD3
280,12,77,1013
281,3,51,687
282,6,66,695
283,7,305,2802
284,5,43,561
285,10,161,1494
286,13,74,913
287,3,61,568
288,10,70,821
289,11,84,978
290,8,65,834
291,3,62,767
292,7,53,627
293,2,87,931
294,8,153,1471
295,12,87,1180
296,5,46,889
297,2,248,2118
298,3,45,586
299,7,89,900
300,6,41,350
301,5,54,608
302,7,51,746
303,19,103,1072
304,10,92,914
305,7,65,1029
306,7,81,837
307,4,63,1081
308,15,115,1545
309,7,75,500
310,8,48,833
311,2,42,369
312,4,41,391
313,4,88,787
314,3,33,323
315,9,96,988
316,5,96,1084
317,3,61,488
318,2,241,2055
319,7,287,2483
320,6,36,542
321,10,108,1052
322,3,37,462
323,10,54,879
324,11,145,1443
325,3,29,204
326,6,48,584
327,8,43,379
328,11,58,486
329,4,38,294
330,10,113,763
331,2,267,2277
332,6,79,752
333,6,71,506
334,11,63,572
335,7,67,755
336,10,76,1074
337,8,56,421
338,2,44,555
339,13,69,1099
340,4,43,650
341,5,174,1633
342,3,251,2173
343,4,58,819
344,4,28,666
345,5,52,678
346,14,88,976
347,11,93,994
348,9,115,1163
349,7,170,1809
350,5,37,402
351,5,94,730
352,6,51,539
353,7,99,909
354,2,148,1510
355,5,143,1444
356,9,315,2563
357,4,20,202
358,2,32,258
359,4,63,781
360,2,30,266
361,9,67,477
362,3,273,2228
363,5,50,729
364,3,27,207
365,8,271,2524
366,9,46,694
367,6,53,498
368,8,59,677
369,19,96,1176
370,7,129,1090
371,9,86,1014
372,8,96,1099
373,7,42,605
374,5,43,559
375,7,69,864
376,7,70,559
377,4,27,256
378,3,40,243
379,7,54,362
380,4,307,2646
381,3,61,681
382,3,28,243
383,5,32,911
384,16,70,1220
385,10,72,1213
386,7,259,2456
387,7,88,863
388,2,137,1352
389,8,53,869
390,4,48,615
391,3,29,350
392,4,54,416
393,10,54,541
394,4,60,404
395,7,66,844
396,5,100,1215
397,3,50,373
398,18,102,1397
399,3,59,517
400,3,61,780
401,2,28,196
402,4,82,733
403,4,51,530
404,3,30,237
405,9,67,981
406,4,140,1368
407,7,178,2224
408,9,42,642
409,4,266,2318
410,5,43,384
411,2,36,536
412,5,75,642
413,6,58,502
414,4,253,2244
415,5,41,388
416,11,68,517
417,7,44,599
418,5,46,575
419,3,41,366
420,5,31,225
421,2,35,474
422,7,58,609
423,2,16,114
424,5,46,335
425,8,63,743
426,2,25,207
427,4,59,748
428,3,159,1518
429,5,43,309
430,5,46,1224
431,8,47,816
432,9,74,609
433,3,48,576
434,2,63,505
435,10,57,408
436,2,29,188
437,6,39,539
438,6,41,417
439,4,136,1483
440,2,42,690
441,3,28,541
442,5,38,562
443,7,68,529
444,18,99,958
445,4,28,273
446,3,58,742
447,3,21,211
448,2,260,2204
449,7,67,640
450,6,94,812
451,6,37,289
452,3,244,2075
453,5,54,367
454,3,56,777
455,9,60,533
456,4,36,478
457,10,51,591
458,8,43,483
459,4,36,390
460,2,45,398
461,10,45,709
462,4,21,413
463,4,145,1370
464,4,25,351
465,6,34,262
466,3,32,255
467,6,32,508
468,10,168,1551
469,6,64,767
470,5,30,460
471,4,27,241
472,12,64,722
473,13,68,616
474,4,90,790
475,4,52,598
476,3,256,2117
477,5,27,252
478,8,40,558
479,9,43,542
480,8,288,2638
481,3,20,351
482,4,22,169
483,3,30,381
484,5,23,417
485,4,23,434
486,3,244,2319
487,3,161,1449
488,5,26,207
489,5,61,526
490,3,26,426
491,5,34,516
492,8,55,497
493,4,47,836
494,18,93,1047
495,7,46,383
496,6,52,512
497,9,99,818
498,2,18,132
499,5,45,320
500,3,263,2541
501,3,32,592
502,2,54,819
503,13,79,1105
504,4,37,228
505,5,46,350
506,8,76,844
507,11,53,424
508,7,271,2505
509,3,34,846
510,8,266,2261
511,5,28,212
512,3,45,656
513,2,19,196
514,6,26,713
515,3,23,152
516,2,68,603
517,4,78,674
518,5,144,1842
519,6,27,375
520,3,72,1046
521,7,72,970
522,2,42,586
523,5,84,873
524,10,162,1647
525,2,71,495
526,4,257,2306
527,3,63,657
528,2,30,230
529,5,33,321
530,2,21,99
531,3,255,2143
532,2,243,2201
533,3,53,725
534,8,51,503
535,7,53,469
536,4,41,302
537,4,36,303
538,5,94,972
539,4,63,939
540,3,34,574
541,2,130,1298
542,6,36,444
543,5,57,961
544,3,35,448
545,2,34,235
546,2,14,152
547,2,35,226
548,5,59,452
549,2,42,341
550,9,51,458
551,6,283,2690
552,7,86,733
553,3,32,222
554,2,32,259
555,10,62,1087
556,5,30,452
557,5,36,373
558,3,58,767
559,4,39,667
560,4,74,870
561,9,44,295
562,2,51,461
563,3,28,383
564,3,40,622
565,3,28,278
566,9,45,861
567,7,44,512
568,3,138,1356
569,3,255,2377
570,8,50,628
571,2,13,124
572,2,25,324
573,7,83,787
574,3,32,197
575,3,36,211
576,3,248,2096
577,3,81,711
578,6,34,550
579,3,64,500
580,2,247,2441
581,3,36,326
582,3,252,2160
583,3,25,456
584,2,20,169
585,4,19,143
586,4,27,285
587,5,67,863
588,3,34,823
589,3,31,311
590,5,252,2262
591,7,67,577
592,3,65,562
593,3,21,126
594,6,61,480
595,3,49,662
596,9,73,779
597,2,29,292
598,2,13,134
599,2,31,203
600,3,48,485
601,4,247,2129
602,5,265,2212
603,2,23,161
604,4,53,674
605,14,183,1959
606,5,32,214
607,4,56,495
608,3,44,346
609,5,75,723
610,5,53,910
611,5,36,293
612,5,26,169
613,2,15,112
614,6,57,441
615,3,26,158
616,4,29,246
617,4,45,321
618,4,43,609
619,5,35,307
620,3,36,338
621,7,87,748
622,2,65,795
623,3,23,256
624,14,87,1067
625,4,26,185
626,9,106,1133
627,3,43,509
628,4,55,689
629,6,54,639
630,7,41,305
631,5,32,506
632,5,46,373
633,2,25,205
634,3,25,553
635,4,70,561
636,7,67,785
637,5,97,703
638,4,87,641
639,2,17,360
640,5,170,1874
641,6,87,1078
642,3,61,848
643,4,34,518
644,2,15,108
645,3,41,221
646,2,85,931
647,3,31,195
648,2,28,302
649,5,85,839
650,2,243,2285
651,4,254,2137
652,3,275,2380
653,5,39,638
654,2,16,192
655,8,50,905
656,7,70,613
657,2,18,218
658,5,74,457
659,4,38,568
660,10,279,2308
661,3,22,142
662,2,21,172
663,3,20,503
664,5,58,719
665,3,15,356
666,2,18,219
667,4,34,263
668,4,48,681
669,4,38,426
670,3,14,166
671,4,54,672
672,5,313,2724
673,4,143,1493
674,4,48,540
675,3,25,238
676,2,56,620
677,4,56,412
678,5,77,672
679,4,26,198
680,6,42,453
681,2,25,641
682,2,30,214
683,4,20,159
684,2,20,396
685,5,250,2142
686,5,36,290
687,5,30,231
688,2,22,128
689,3,15,166
690,7,54,620
691,3,27,511
692,2,289,2467
693,8,51,442
694,4,37,279
695,4,24,170
696,2,29,456
697,4,74,746
698,3,20,191
699,2,19,379
700,3,40,648
701,5,32,348
702,4,45,639
703,3,28,282
704,2,18,136
705,5,78,557
706,4,36,231
707,4,18,170
708,5,57,380
709,5,26,406
710,2,52,621
711,3,24,283
712,5,78,1046
713,7,62,727
714,5,37,245
715,3,42,589
716,6,30,428
717,4,29,332
718,3,24,191
719,2,59,377
720,5,63,460
721,2,35,662
722,3,55,404
723,2,39,582
724,3,27,191
725,9,52,669
726,4,22,257
727,5,137,1316
728,3,53,492
729,2,19,147
730,4,66,1099
731,2,132,1564
732,4,19,208
733,3,20,569
734,6,35,375
735,2,44,818
736,7,51,553
737,6,32,216
738,3,26,439
739,3,136,1385
740,4,192,1974
741,4,74,1158
742,2,16,137
743,5,33,218
744,3,28,174
745,2,24,257
746,5,32,428
747,2,17,123
748,3,32,732
749,6,25,473
750,2,50,663
751,6,265,2587
752,4,31,225
753,4,90,680
754,12,60,475
755,8,64,700
756,7,270,2318
757,4,33,803
758,2,48,682
759,3,14,194
760,6,54,875
761,3,26,217
762,2,358,3261
763,2,11,117
764,5,20,554
765,2,137,1352
766,3,30,318
767,3,20,164
768,7,62,672
769,2,151,1570
770,8,53,699
771,3,263,2296
772,3,86,766
773,2,252,2365
774,4,46,353
775,2,40,525
776,4,41,307
777,2,33,226
778,4,27,158
779,2,129,1301
780,3,18,182
781,6,61,928
782,6,34,246
783,3,15,391
784,2,35,239
785,3,22,242
786,2,23,170
787,2,22,348
788,3,246,2139
789,3,21,151
790,4,71,698
791,2,44,601
792,7,45,441
793,2,16,138
794,6,48,457
795,2,18,346
796,3,132,1420
797,4,59,557
798,3,35,296
799,2,244,2085
800,2,54,932
801,4,17,576
802,3,28,244
803,3,27,589
804,3,22,217
805,3,30,318
806,2,15,211
807,8,66,769
808,5,140,1382
809,3,64,576
810,3,57,763
811,4,24,341
812,2,17,138
813,3,52,539
814,3,17,132
815,6,37,258
816,5,69,816
817,4,31,471
818,3,32,491
819,3,51,332
820,2,15,113
821,8,152,1578
822,4,68,522
823,2,24,282
824,2,28,339
825,2,68,596
826,4,77,925
827,6,68,486
828,2,23,316
829,4,141,1401
830,4,32,223
831,2,274,2297
832,3,45,923
833,3,54,682
834,3,248,2094
835,3,245,2072
836,5,74,499
837,2,33,222
838,2,26,254
839,3,12,345
840,4,247,2115
841,10,69,689
842,3,248,2148
843,2,14,404
844,4,32,347
845,4,23,343
846,2,16,127
847,7,257,2406
848,9,72,842
849,2,274,2297
850,7,69,1110
851,4,54,490
852,4,25,199
853,3,37,512
854,6,34,219
855,8,42,631
856,5,35,495
857,5,42,543
858,2,50,767
859,4,45,520
860,3,15,134
861,2,11,122
862,3,29,281
863,4,17,209
864,7,60,726
865,2,9,67
866,3,52,576
867,3,48,291
868,4,43,581
869,6,60,591
870,3,21,215
871,2,34,684
872,6,26,198
873,3,34,518
874,2,72,672
875,5,59,518
876,2,39,368
877,3,27,410
878,4,23,444
879,2,25,268
880,2,26,405
881,2,20,179
882,2,44,414
883,4,34,463
884,5,21,135
885,2,19,104
886,3,17,141
887,5,42,345
888,4,31,268
889,3,65,531
890,5,33,433
891,5,26,416
892,4,107,1158
893,2,83,623
894,4,18,163
895,3,43,513
896,3,48,539
897,2,76,893
898,4,29,205
899,4,21,177
900,7,258,2193
901,4,134,1525
902,3,33,260
903,2,253,2149
904,3,40,347
905,3,45,436
906,3,22,182
907,5,76,571
908,3,263,2337
909,3,104,905
910,4,65,782
911,6,61,404
912,2,240,2070
913,3,26,497
914,5,30,480
915,3,251,2104
916,5,29,296
917,2,129,1393
918,2,51,645
919,5,28,534
920,2,52,451
921,4,56,812
922,4,135,1482
923,4,44,540
924,2,14,109
925,6,47,932
926,3,32,480
927,3,30,164
928,4,30,223
929,5,64,769
930,2,14,200
931,4,49,643
932,3,30,485
933,5,37,575
934,3,23,373
935,2,20,142
936,5,46,508
937,5,29,277
938,3,25,664
939,7,280,2701
940,5,53,391
941,2,19,156
942,6,38,312
943,5,270,2276
944,4,27,174
945,4,28,453
946,2,280,2690
947,3,55,540
948,5,58,743
949,2,48,635
950,7,64,968
951,4,250,2202
952,4,22,168
953,3,21,255
954,3,25,539
955,3,22,242
956,4,15,135
957,2,16,148
958,2,22,347
959,6,70,625
960,3,26,157
961,4,58,784
962,4,31,292
963,5,25,264
964,2,25,416
965,2,20,123
966,2,26,393
967,5,60,803
968,3,36,465
969,4,39,323
970,5,69,575
971,7,40,607
972,2,20,276
973,2,29,435
974,4,40,594
975,4,38,506
976,2,21,298
977,5,28,243
978,2,12,129
979,3,17,388
980,2,45,390
981,3,160,1705
982,2,23,191
983,2,11,201
984,5,25,220
985,3,22,393
986,4,25,165
987,2,23,169
988,2,23,198
989,4,160,1996
990,4,38,221
991,5,43,432
992,2,40,276
993,3,13,97
994,2,35,599
995,3,18,141
996,2,31,176
997,2,52,451
998,2,53,689
999,5,44,284
1000,3,24,372
1001,2,31,468
1002,4,108,843
1003,3,28,209
1004,4,75,859
1005,2,14,246
1006,2,27,227
1007,2,21,261
1008,3,46,321
1009,2,13,118
1010,2,14,96
1011,2,14,132
1012,4,23,388
1013,2,41,575
1014,2,53,697
1015,2,44,582
1016,3,20,169
1017,3,22,156
1018,4,256,2147
1019,3,20,277
1020,4,251,2120
1021,5,48,527
1022,4,63,797
1023,4,68,736
1024,2,15,345
1025,4,47,418
1026,2,19,179
1027,2,54,463
1028,2,16,164
1029,4,39,538
1030,2,14,364
1031,3,20,185
1032,3,14,317
1033,2,39,335
1034,3,34,731
1035,4,28,183
1036,2,31,183
1037,2,15,320
1038,2,14,391
1039,2,266,2484
1040,5,29,241
1041,2,135,1317
1042,5,26,404
1043,3,24,701
1044,6,43,287
1045,2,127,1510
1046,2,8,87
1047,4,37,573
1048,3,12,127
1049,2,37,340
1050,3,15,109
1051,3,257,2162
1052,3,245,2131
1053,2,14,147
1054,4,19,103
1055,4,33,246
1056,2,33,198
1057,3,23,140
1058,2,23,197
1059,4,18,145
1060,5,54,541
1061,3,34,268
1062,3,19,312
1063,3,257,2156
1064,5,42,726
1065,2,15,137
1066,6,60,533
1067,3,21,172
1068,2,38,677
1069,2,24,126
1070,2,19,159
1071,7,50,776
1072,6,43,418
1073,7,61,554
1074,7,36,283
1075,5,45,516
1076,4,79,647
1077,3,28,202
1078,4,17,118
1079,3,40,445
1080,5,34,450
1081,3,11,136
1082,3,30,554
1083,5,29,525
1084,3,37,467
1085,2,55,485
1086,2,41,613
1087,3,246,2092
1088,3,21,419
1089,7,44,367
1090,4,45,646
1091,3,66,788
1092,2,15,162
1093,2,16,107
1094,2,25,290
1095,3,36,639
1096,2,14,91
1097,3,249,2176
1098,2,76,846
1099,2,55,768
1100,3,246,2082
1101,3,38,507
1102,2,21,165
1103,2,34,391
1104,4,26,169
1105,9,50,391
1106,3,19,150
1107,2,37,296
1108,3,28,216
1109,3,32,479
1110,2,17,131
1111,5,65,554
1112,2,18,172
1113,2,65,575
1114,2,260,2204
1115,2,57,695
1116,4,19,163
1117,6,183,2014
1118,2,24,443
1119,6,32,308
1120,2,38,535
1121,3,14,96
1122,2,241,2108
1123,5,161,1857
1124,2,168,1654
1125,3,17,197
1126,6,98,835
1127,5,50,327
1128,3,17,164
1129,3,29,496
1130,2,132,1295
1131,2,275,2335
1132,3,158,1515
1133,2,20,118
1134,6,35,346
1135,2,16,111
1136,2,17,137
1137,2,64,948
1138,4,31,212
1139,3,49,929
1140,3,242,2053
1141,4,66,755
1142,3,27,161
1143,6,37,244
1144,4,32,178
1145,2,25,546
1146,2,20,218
1147,3,242,2087
1148,7,264,2219
1149,5,28,499
1150,2,38,532
1151,3,27,308
1152,3,48,666
1153,3,27,397
1154,3,28,560
1155,3,42,301
1156,5,21,166
1157,2,34,458
1158,3,44,385
1159,4,78,669
1160,4,17,137
1161,2,12,346
1162,4,257,2400
1163,4,54,699
1164,4,26,463
1165,2,14,246
1166,2,14,364
1167,3,22,261
1168,7,37,359
1169,4,50,607
1170,3,30,280
1171,2,25,204
1172,5,39,274
1173,2,241,2061
1174,8,74,880
1175,6,150,1444
1176,4,47,633
1177,2,51,353
1178,4,30,652
1179,2,268,2500
1180,2,17,165
1181,2,16,199
1182,2,22,383
1183,5,260,2140
1184,4,34,492
1185,3,21,159
1186,2,14,113
1187,3,67,582
1188,3,28,262
1189,3,41,609
1190,3,16,315
1191,3,22,342
1192,3,36,496
1193,5,33,324
1194,2,12,82
1195,7,259,2160
1196,5,23,138
1197,2,14,311
1198,3,42,471
1199,2,34,481
1200,3,20,421
1201,2,21,187
1202,2,18,422
1203,2,26,285
1204,6,51,596
1205,2,29,296
1206,2,30,372
1207,4,19,119
1208,2,23,206
1209,3,16,117
1210,2,40,450
1211,6,41,288
1212,2,40,362
1213,2,13,83
1214,2,14,129
1215,6,39,372
1216,2,11,91
1217,4,18,143
1218,3,20,162
1219,3,32,589
1220,3,48,513
1221,3,30,180
1222,2,13,98
1223,4,19,387
1224,2,17,135
1225,2,29,496
1226,3,38,464
1227,3,15,111
1228,3,19,146
1229,2,263,2345
1230,2,20,118
1231,4,24,405
1232,3,28,220
1233,4,35,607
1234,4,28,557
1235,3,42,332
1236,4,54,740
1237,3,16,224
1238,2,10,95
1239,3,34,506
1240,3,28,256
1241,6,27,271
1242,4,28,165
1243,4,23,369
1244,3,37,585
1245,2,29,449
1246,4,43,560
1247,2,21,373
1248,2,19,148
1249,4,252,2147
1250,2,32,459
1251,2,59,512
1252,2,22,109
1253,2,274,2297
1254,3,28,170
1255,3,22,161
1256,3,22,482
1257,5,28,467
1258,4,36,295
1259,4,27,471
1260,2,14,177
1261,3,35,247
1262,3,19,452
1263,2,25,166
1264,4,46,409
1265,2,163,1560
1266,2,30,656
1267,7,65,810
1268,2,25,220
1269,2,33,623
1270,2,25,140
1271,2,69,822
1272,5,26,178
1273,6,31,482
1274,4,43,388
1275,2,41,622
1276,6,31,506
1277,7,70,589
1278,2,55,466
1279,3,16,390
1280,3,60,697
1281,3,23,226
1282,2,19,169
1283,7,33,488
1284,4,25,375
1285,3,16,131
1286,5,26,218
1287,2,64,734
1288,2,20,118
1289,4,26,171
1290,2,68,770
1291,2,36,311
1292,2,14,102
1293,3,14,239
1294,4,139,1355
1295,2,29,315
1296,2,59,435
1297,10,54,399
1298,2,23,345
1299,3,32,272
1300,3,42,393
1301,2,13,314
1302,2,127,1271
1303,2,22,507
1304,3,57,529
1305,2,25,220
1306,4,31,545
1307,4,48,412
1308,3,17,324
1309,5,38,230
1310,3,135,1328
1311,4,39,400
1312,4,245,2090
1313,2,30,211
1314,3,55,395
1315,4,260,2224
1316,3,25,554
1317,3,17,110
1318,2,10,93
1319,3,40,565
1320,2,16,102
1321,3,15,122
1322,3,37,749
1323,3,43,333
1324,2,244,2080
1325,7,36,473
1326,4,21,394
1327,3,26,235
1328,2,19,362
1329,2,20,362
1330,2,12,310
1331,2,28,149
1332,3,32,221
1333,3,39,357
1334,4,27,178
1335,2,10,86
1336,3,50,352
1337,4,49,788
1338,3,15,114
1339,2,38,461
1340,2,59,493
1341,3,50,368
1342,3,13,89
1343,3,26,450
1344,2,252,2127
1345,2,26,439
1346,2,11,67
1347,6,26,346
1348,2,72,725
1349,2,10,97
1350,4,20,110
1351,2,34,489
1352,3,45,468
1353,3,50,394
1354,3,13,90
1355,2,28,309
1356,2,42,607
1357,2,93,1101
1358,3,22,375
1359,2,241,2099
1360,2,30,271
1361,3,26,386
1362,4,27,477
1363,3,16,111
1364,2,41,359
1365,4,275,2588
1366,2,132,1304
1367,3,20,153
1368,5,59,487
1369,3,27,133
1370,2,15,78
1371,2,39,400
1372,2,11,317
1373,3,27,541
1374,2,15,101
1375,4,22,326
1376,3,19,123
1377,2,19,141
1378,3,44,502
1379,2,24,148
1380,3,24,129
1381,5,20,150
1382,4,49,611
1383,6,251,2157
1384,3,48,393
1385,3,39,289
1386,2,13,97
1387,4,22,181
1388,2,15,121
1389,4,40,401
1390,5,27,170
1391,3,45,608
1392,2,49,335
1393,3,30,226
1394,3,23,114
1395,4,20,718
1396,2,10,282
1397,5,251,2176
1398,2,248,2116
1399,4,20,180
1400,4,16,149
1401,4,60,428
1402,2,12,87
1403,3,37,458
1404,5,33,318
1405,2,20,281
1406,2,16,372
1407,3,21,355
1408,2,15,355
1409,3,18,151
1410,5,37,505
1411,4,27,179
1412,5,22,387
1413,3,15,94
1414,2,21,198
1415,2,127,1379
1416,4,246,2072
1417,2,16,116
1418,2,10,102
1419,3,21,210
1420,3,25,196
1421,3,14,117
1422,2,31,254
1423,5,21,168
1424,2,239,2074
1425,4,58,535
1426,3,25,286
1427,3,17,97
1428,3,40,536
1429,2,14,121
1430,2,9,128
1431,3,41,611
1432,4,18,208
1433,2,17,467
1434,3,63,492
1435,2,19,188
1436,3,27,215
1437,2,10,114
1438,2,12,184
1439,2,50,874
1440,2,13,196
1441,4,33,615
1442,2,13,100
1443,3,41,578
1444,3,64,709
1445,2,25,177
1446,2,265,2306
1447,2,30,464
1448,3,29,166
1449,2,10,47
1450,2,19,179
1451,2,16,97
1452,2,13,524
1453,3,19,173
1454,3,20,259
1455,3,62,418
1456,2,11,88
1457,3,25,233
1458,6,145,1530
1459,3,18,168
1460,2,38,332
1461,2,16,120
1462,4,23,175
1463,2,16,157
1464,3,22,164
1465,2,13,127
1466,2,42,666
1467,2,39,219
1468,5,249,2131
1469,3,21,116
1470,2,55,428
1471,2,28,177
1472,3,20,309
1473,4,30,392
1474,3,15,203
1475,4,23,125
1476,2,260,2204
1477,6,30,324
1478,2,64,490
1479,6,47,537
1480,4,19,382
1481,3,34,315
1482,2,23,163
1483,3,28,235
1484,4,62,653
1485,2,35,445
1486,3,42,239
1487,2,20,117
1488,3,242,2052
1489,3,65,510
1490,5,19,262
1491,2,18,447
1492,2,65,826
1493,2,22,170
1494,2,19,222
1495,2,240,2183
1496,2,243,2095
1497,3,15,94
1498,3,16,236
1499,6,28,520
1500,2,13,110
1501,2,35,209
1502,4,19,154
1503,2,30,279
1504,2,9,71
1505,2,90,751
1506,3,29,440
1507,2,65,520
1508,2,16,114
1509,2,35,494
1510,2,30,507
1511,2,15,260
1512,2,17,155
1513,3,21,125
1514,2,242,2061
1515,4,27,235
1516,3,47,786
1517,4,44,334
1518,3,26,261
1519,2,47,626
1520,2,16,365
1521,4,33,167
1522,3,19,225
1523,5,65,812
1524,2,21,272
1525,5,26,252
1526,2,19,482
1527,2,52,402
1528,3,248,2093
1529,3,21,151
1530,5,29,259
1531,3,23,169
1532,2,54,452
1533,2,20,532
1534,3,30,598
1535,4,248,2097
1536,3,18,198
1537,3,43,278
1538,6,34,457
1539,3,21,195
1540,2,51,359
1541,7,152,1456
1542,2,24,198
1543,2,18,160
1544,5,37,369
1545,3,16,243
1546,2,39,578
1547,3,18,277
1548,3,15,105
1549,2,15,124
1550,2,37,541
1551,2,29,167
1552,3,16,397
1553,3,70,621
1554,5,54,466
1555,2,15,124
1556,2,16,209
1557,2,29,323
1558,2,24,490
1559,2,24,386
1560,2,45,364
1561,2,20,211
1562,2,9,70
1563,3,19,376
1564,4,22,345
1565,2,70,761
1566,2,46,512
1567,5,25,625
1568,3,18,128
1569,2,29,499
1570,2,91,865
1571,2,13,349
1572,2,11,97
1573,2,47,648
1574,2,8,54
1575,3,245,2550
1576,2,10,75
1577,2,29,472
1578,3,18,113
1579,7,81,888
1580,3,27,200
1581,2,19,160
1582,5,251,2141
1583,2,8,74
1584,3,25,468
1585,2,30,193
1586,2,9,100
1587,2,92,982
1588,5,19,152
1589,2,15,109
1590,2,79,699
1591,2,31,301
1592,2,53,573
1593,3,18,342
1594,2,38,329
1595,3,14,109
1596,3,21,350
1597,2,11,288
1598,2,13,327
1599,2,50,587
1600,3,18,320
1601,3,21,215
1602,4,14,97
1603,2,240,2098
1604,2,16,99
1605,2,27,171
1606,2,31,509
1607,3,123,1125
1608,3,15,155
1609,3,13,85
1610,3,243,2058
1611,2,14,99
1612,2,11,314
1613,3,42,357
1614,4,246,2104
1615,2,20,382
1616,3,20,106
1617,3,15,295
1618,2,43,338
1619,2,66,688
