Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
135,19,539,11069,10,191,4746
136,7,353,7965,5,94,3176
137,30,422,8864,10,229,3804
138,15,477,9571,10,159,4126
139,29,664,15190,12,273,6175
140,13,390,8391,8,141,3501
141,17,402,8467,11,171,3640
142,16,328,7275,9,149,3031
143,15,425,8201,7,144,3613
144,25,436,10038,11,213,4095
145,19,374,8685,9,164,3493
146,18,562,11595,9,181,4884
147,23,479,10476,10,204,4360
148,30,397,8870,11,225,3684
149,18,549,10487,9,178,4654
150,18,509,11358,9,193,4636
151,17,435,8757,8,164,3779
152,19,401,9157,9,177,3738
153,15,396,8547,8,149,3563
154,24,350,7540,8,186,3180
155,18,520,11684,9,180,4721
156,24,530,10515,12,221,4695
157,26,585,13235,10,227,5316
158,10,185,4317,7,95,1731
159,13,516,10646,9,155,4553
160,11,173,4048,7,98,1643
161,12,288,7076,7,125,2756
162,21,562,11558,8,202,4877
163,21,397,9056,11,191,3696
164,8,328,6183,7,95,2765
165,15,389,9200,10,157,3707
166,40,511,11301,11,299,4655
167,14,337,6292,8,132,2836
168,18,448,9096,10,173,3965
169,22,407,8537,11,194,3675
170,12,341,6567,8,120,2929
171,16,371,7565,9,149,3253
172,13,413,9102,8,146,3746
173,14,511,10885,7,158,4482
174,19,371,7420,9,168,3265
175,14,378,7809,8,145,3365
176,21,466,9404,12,200,4118
177,14,340,6633,10,140,2976
178,27,518,10861,11,224,4597
179,19,395,8421,8,169,3508
180,19,386,8715,9,169,3539
181,15,362,8603,10,152,3417
182,24,607,13093,11,231,5468
183,7,238,5160,7,87,2151
184,12,475,10039,7,142,4181
185,13,379,8025,8,131,3384
186,11,308,6457,9,116,2758
187,14,373,8204,8,145,3410
188,20,412,9517,11,185,3847
189,17,434,9690,7,165,3914
190,17,417,8816,9,164,3740
191,21,490,10644,9,193,4434
192,24,350,7172,10,193,3147
193,12,225,4486,8,111,2046
194,12,271,5556,7,114,2364
195,21,451,10725,9,196,4230
196,20,322,6651,9,163,2905
197,20,393,8509,11,172,3547
198,27,634,13921,11,249,5772
199,18,518,10589,10,182,4518
200,20,615,12618,9,197,5336
201,12,249,5522,9,118,2285
202,12,310,6206,7,116,2700
203,11,330,7668,7,116,3011
204,21,554,11294,9,195,4842
205,31,401,8815,9,231,3652
206,12,343,7933,8,125,3134
207,12,313,6051,9,117,2697
208,8,419,8422,8,117,3602
209,18,431,9436,9,169,3857
210,18,239,4896,9,143,2175
211,14,313,6502,9,135,2793
212,16,264,5666,9,134,2364
213,17,524,10346,8,168,4436
214,9,315,7956,7,117,3068
215,16,348,7342,9,146,3127
216,12,348,7634,9,128,3154
217,20,470,9237,8,177,4011
218,17,286,6015,9,145,2607
219,22,537,10938,9,201,4652
220,9,411,7838,8,116,3443
221,23,429,8337,10,182,3694
222,8,237,5110,7,99,2165
223,12,476,9966,8,141,4133
224,13,233,4392,8,120,2047
225,26,472,10466,9,217,4298
226,8,210,4269,7,85,1845
227,11,255,5711,6,107,2323
228,17,280,5619,8,138,2486
229,15,341,7251,8,144,3069
230,19,481,10142,8,178,4229
231,22,395,9040,10,184,3660
232,10,256,5691,7,106,2367
233,11,314,6730,6,112,2761
234,14,217,3881,8,117,1851
235,10,357,6898,7,119,3025
236,15,515,11416,8,161,4639
237,13,252,5079,7,119,2210
238,14,242,5363,7,118,2169
239,9,289,7142,7,113,2777
240,24,406,9707,9,191,3769
241,24,366,8717,10,193,3445
242,10,430,8691,7,126,3724
243,16,339,7546,9,145,3100
244,20,358,7010,11,167,3135
245,9,305,6308,7,101,2698
246,21,449,8999,9,180,3867
247,21,311,6898,9,165,2828
248,8,299,6307,6,100,2636
249,9,347,6757,6,104,2933
250,13,316,6592,8,127,2805
251,14,203,4963,8,116,1942
252,24,278,6141,8,172,2568
253,10,256,5262,8,105,2264
254,15,245,5256,9,132,2245
255,8,432,9492,6,121,3859
256,10,326,7252,8,115,2927
257,10,176,3758,7,84,1562
258,14,274,5434,7,120,2384
259,17,434,9635,9,162,3914
260,12,274,5602,7,109,2394
261,15,333,7532,8,146,3088
262,16,402,8611,8,158,3568
263,8,272,5692,6,92,2355
264,13,276,5004,9,119,2352
265,17,414,8640,9,148,3618
266,8,306,6748,7,103,2758
267,12,307,6354,8,118,2677
268,12,256,5850,7,118,2355
269,5,339,7430,5,88,2997
270,13,221,4756,8,111,1994
271,18,209,4956,8,129,1963
272,13,226,4540,7,112,1984
273,25,552,12198,9,204,4896
274,11,173,3369,8,92,1504
275,15,310,6288,7,134,2699
276,12,333,7424,8,128,3037
277,7,231,4844,7,96,2089
278,20,354,7468,10,171,3234
279,8,143,2914,7,73,1259
280,16,399,8919,9,160,3687
281,13,293,5608,9,130,2558
282,12,253,5764,10,117,2333
283,11,399,7965,8,129,3457
284,14,329,6161,8,125,2790
285,7,225,4587,6,81,1960
286,14,335,6612,7,128,2863
287,13,262,5524,7,118,2313
288,15,307,5613,8,129,2575
289,16,261,5747,7,131,2407
290,10,376,8448,6,117,3369
291,13,276,5857,8,125,2475
292,19,327,6771,9,155,2898
293,9,277,5633,6,97,2375
294,15,286,6426,8,128,2605
295,12,237,5904,8,112,2302
296,12,376,7532,7,121,3237
297,23,266,5819,9,166,2446
298,13,300,6442,7,121,2645
299,6,184,3498,6,70,1585
300,13,220,4509,9,119,2004
301,6,133,2911,6,61,1194
302,14,576,11758,9,166,4962
303,12,242,5095,7,104,2173
304,17,391,7658,8,149,3342
305,8,315,6803,6,99,2763
306,14,360,7403,9,140,3168
307,12,224,4636,8,107,1990
308,12,244,5635,8,111,2309
309,19,371,8162,8,163,3340
310,9,256,5967,6,96,2371
311,7,151,3816,6,76,1468
312,12,325,6810,6,113,2786
313,16,282,6509,7,135,2642
314,17,461,9272,8,160,3995
315,14,330,6567,8,131,2841
316,7,258,5523,6,93,2304
317,14,404,8094,8,138,3508
318,12,275,6335,8,121,2535
319,11,151,3562,6,90,1410
320,13,230,5555,7,108,2174
321,10,258,5977,6,104,2395
322,10,170,3338,8,95,1534
323,11,333,6715,9,119,2900
324,13,299,5621,8,116,2545
325,6,165,3458,5,64,1442
326,12,270,5769,7,111,2449
327,6,285,5381,6,85,2407
328,10,370,7317,7,118,3188
329,12,256,5397,6,109,2258
330,14,521,9923,8,150,4398
331,14,253,5544,8,119,2304
332,5,276,6561,5,87,2560
333,13,279,5946,7,115,2460
334,8,220,4595,6,82,1948
335,11,415,8847,8,130,3645
336,17,381,7920,9,154,3351
337,19,351,7902,9,164,3216
338,10,213,4225,7,95,1868
339,13,210,4303,7,111,1878
340,12,211,4285,7,98,1831
341,8,161,3166,6,76,1400
342,7,190,3693,6,76,1670
343,11,275,5646,7,105,2394
344,7,329,6092,6,92,2726
345,8,429,8486,7,112,3647
346,13,351,7231,9,131,3051
347,16,342,6693,9,142,2972
348,14,289,6214,8,124,2609
349,6,200,4450,6,76,1830
350,13,286,5776,7,121,2507
351,16,280,6366,8,131,2550
352,6,398,8156,6,98,3430
353,19,241,4997,9,144,2195
354,9,334,6955,7,109,2929
355,9,314,6266,7,99,2683
356,7,355,7749,6,100,3143
357,11,236,4443,7,99,1988
358,11,233,5105,9,113,2153
359,9,260,5485,7,99,2337
360,16,448,7927,8,152,3693
361,13,434,9022,8,138,3789
362,17,344,7031,8,144,3015
363,16,384,8375,9,158,3507
364,11,256,5446,8,109,2305
365,8,250,5077,6,86,2167
366,18,211,4136,9,127,1875
367,14,195,4060,8,112,1777
368,17,244,5317,8,133,2205
369,18,273,6114,9,146,2566
370,9,273,5842,6,102,2429
371,9,223,4450,7,92,1947
372,12,317,7562,8,130,3030
373,13,391,7779,9,131,3367
374,10,150,3630,7,88,1426
375,11,174,3967,8,91,1626
376,10,229,4927,6,98,2071
377,21,458,8883,8,169,3890
378,8,410,8080,7,106,3467
379,6,180,4630,6,73,1759
380,8,272,5298,7,89,2300
381,6,169,3636,5,69,1537
382,7,188,3539,6,72,1567
383,5,328,7129,5,89,2887
384,19,430,9138,9,169,3823
385,8,385,8227,6,106,3356
386,13,233,5049,8,114,2122
387,11,420,8535,7,127,3627
388,9,222,5287,7,90,2069
389,14,318,7003,8,135,2897
390,14,368,8104,8,135,3336
391,12,186,3968,7,98,1675
392,12,175,3535,8,99,1583
393,9,144,3218,6,81,1355
394,11,158,3100,7,87,1393
395,11,238,5205,7,105,2201
396,12,261,5113,7,111,2243
397,12,407,8742,6,130,3607
398,11,180,3309,7,90,1524
399,12,441,10013,7,142,3999
400,11,320,6259,8,113,2749
401,13,350,8029,7,126,3189
402,11,211,3925,7,94,1781
403,16,275,6058,8,135,2504
404,8,294,6531,6,93,2632
405,10,370,7112,7,108,3112
406,19,234,4638,8,141,2081
407,10,140,3175,7,83,1312
408,9,304,6621,7,99,2689
409,8,135,2830,8,72,1231
410,10,296,6491,8,118,2704
411,9,283,5988,7,96,2512
412,10,277,6524,6,105,2578
413,13,235,5672,8,115,2244
414,10,361,7580,7,112,3157
415,10,245,5231,8,105,2216
416,13,225,4104,8,114,1944
417,16,316,6219,8,128,2701
418,10,253,5672,6,103,2325
419,11,213,4223,7,95,1872
420,11,217,5039,8,102,1997
421,13,166,3079,7,95,1434
422,7,124,2519,6,65,1090
423,7,363,6695,6,91,2976
424,11,232,5714,7,101,2202
425,15,220,4128,8,111,1899
426,9,321,6646,6,102,2822
427,11,158,3051,7,86,1379
428,10,260,6267,7,110,2486
429,16,429,9666,8,153,3914
430,7,188,4082,7,79,1701
431,11,218,4772,7,98,2004
432,13,305,5666,8,125,2597
433,7,379,8698,6,106,3440
434,15,370,7801,7,138,3228
435,15,336,6849,7,137,2938
436,12,309,6459,8,120,2757
437,9,153,3343,7,76,1393
438,15,183,3872,7,113,1654
439,16,335,6730,8,139,2916
440,9,254,5544,6,97,2285
441,11,191,3718,8,95,1687
442,8,294,6754,6,103,2719
443,5,224,4637,5,72,1971
444,11,307,6158,6,104,2625
445,10,211,4506,6,93,1871
446,5,89,1981,5,48,805
447,8,213,4326,7,87,1881
448,11,203,4691,7,96,1831
449,14,329,7454,6,129,3019
450,6,240,4564,6,75,2016
451,18,388,8453,8,159,3478
452,8,265,6193,6,95,2441
453,13,187,3777,7,102,1682
454,8,203,4289,6,80,1753
455,9,171,3241,7,80,1479
456,10,174,2866,6,82,1403
457,13,269,5203,7,111,2291
458,7,192,4123,6,74,1739
459,9,142,3089,7,79,1286
460,10,272,5946,6,100,2446
461,8,193,3760,6,74,1629
462,11,263,5942,8,105,2394
463,5,434,8508,5,97,3647
464,11,323,6966,7,112,2879
465,10,326,6557,8,109,2811
466,9,128,3136,6,73,1236
467,9,321,6241,6,100,2744
468,14,270,5633,9,126,2449
469,12,251,5520,7,110,2269
470,19,229,4976,8,144,2118
471,13,212,4783,7,104,1920
472,13,258,5338,6,112,2246
473,8,259,5588,6,86,2295
474,9,252,5606,7,98,2324
475,9,172,3967,7,89,1630
476,12,272,5367,7,111,2335
477,13,414,8762,7,133,3646
478,17,207,4349,8,124,1867
479,6,197,3794,6,65,1656
480,6,204,5138,6,74,1941
481,14,239,5654,8,113,2238
482,16,256,5883,8,126,2342
483,19,319,5993,8,145,2711
484,9,164,3399,6,81,1481
485,8,213,4653,7,86,1940
486,5,214,4628,5,70,1901
487,6,162,3367,6,64,1430
488,6,93,2061,5,52,838
489,17,302,6523,8,143,2729
490,8,164,3378,6,76,1461
491,15,269,6441,6,127,2513
492,10,223,4320,7,94,1902
493,8,289,5789,7,94,2502
494,5,228,4516,5,69,1912
495,9,227,4230,7,92,1945
496,10,209,4026,7,92,1806
497,12,218,5513,7,109,2133
498,9,190,3749,6,84,1668
499,8,225,4451,7,79,1928
500,8,111,2442,6,66,1022
501,16,241,4988,9,129,2173
502,11,324,6387,6,113,2798
503,9,213,5247,7,93,2066
504,11,291,5920,7,104,2487
505,10,318,6326,6,108,2716
506,10,260,5968,7,110,2421
507,6,117,2337,6,55,1032
508,9,207,3764,8,86,1724
509,15,392,8115,8,139,3408
510,6,152,2840,5,62,1302
511,5,226,4186,5,64,1888
512,11,263,5466,7,106,2319
513,8,191,4562,6,81,1799
514,9,320,6442,6,97,2733
515,9,280,5759,7,98,2461
516,9,243,4921,6,90,2064
517,13,460,8864,6,130,3828
518,9,105,2550,7,71,1043
519,7,302,6500,6,89,2652
520,6,237,4398,5,73,2008
521,8,220,4352,6,85,1894
522,15,238,4991,8,122,2123
523,8,238,5316,6,89,2161
524,7,206,4530,6,78,1832
525,9,150,2952,6,79,1348
526,10,149,3174,6,83,1329
527,5,118,2825,5,57,1108
528,14,219,4005,8,113,1908
529,8,362,6560,6,93,2965
530,12,195,4170,8,97,1735
531,11,279,6220,6,106,2494
532,9,393,8616,7,117,3547
533,12,233,4723,8,107,2043
534,6,111,2392,5,56,989
535,20,418,8379,8,166,3603
536,12,165,3714,8,95,1533
537,10,159,3421,6,84,1444
538,8,266,5060,7,83,2200
539,14,207,4182,8,110,1822
540,10,185,4003,7,92,1692
541,10,262,5062,6,92,2214
542,11,402,7692,9,126,3403
543,9,238,5367,7,93,2146
544,9,86,1730,5,64,753
545,11,186,3550,7,94,1610
546,13,188,3867,7,103,1682
547,5,221,4662,5,69,1958
548,8,325,6795,7,101,2837
549,10,240,5417,7,100,2201
550,12,205,4229,7,104,1841
551,7,252,5055,6,77,2131
552,9,162,3735,7,78,1488
553,9,155,3287,7,80,1416
554,12,193,3730,7,102,1673
555,9,183,3909,6,80,1658
556,6,248,4647,6,74,2093
557,12,182,4087,7,99,1668
558,7,174,3739,6,71,1560
559,8,193,3859,6,79,1649
560,6,184,3481,5,68,1563
561,7,153,3296,6,71,1395
562,7,88,1917,6,54,817
563,8,253,4585,7,85,2090
564,7,228,4016,6,74,1879
565,6,353,8281,5,96,3259
566,7,199,4597,7,78,1875
567,7,158,3551,6,71,1437
568,7,271,5919,6,88,2430
569,9,131,2961,6,73,1211
570,7,187,3882,6,69,1597
571,15,189,4442,8,117,1779
572,7,296,5658,6,91,2520
573,7,369,7385,6,101,3172
574,14,357,7296,7,134,3076
575,11,200,4064,6,97,1745
576,6,216,4103,6,67,1815
577,8,140,2789,7,74,1239
578,12,407,8665,7,130,3576
579,9,183,4404,7,87,1733
580,5,255,5445,5,69,2222
581,12,144,2664,7,91,1247
582,9,129,3202,6,76,1261
583,10,346,6831,7,112,2962
584,9,368,7453,7,106,3156
585,6,104,2370,6,55,956
586,9,203,4288,7,89,1822
587,6,397,8053,6,95,3425
588,8,309,5593,7,89,2550
589,11,249,4374,7,94,2067
590,13,224,4477,7,115,1974
591,9,289,5457,7,95,2466
592,10,510,10317,6,132,4359
593,7,205,3879,6,73,1738
594,9,150,2855,6,75,1271
595,6,211,4098,5,66,1785
596,5,138,2998,5,59,1248
597,8,130,2951,7,69,1190
598,6,241,5242,6,78,2133
599,8,166,3851,7,72,1528
600,12,209,4555,7,101,1891
601,8,131,2759,7,72,1178
602,6,75,1634,6,49,701
603,6,269,5393,6,83,2330
604,11,183,3670,7,93,1595
605,10,169,3639,7,87,1535
606,16,186,4061,7,116,1699
607,12,198,4257,6,105,1766
608,11,152,3176,7,84,1368
609,10,498,10384,7,132,4326
610,7,97,2222,5,56,918
611,5,82,1943,5,46,776
612,11,410,8213,8,127,3509
613,8,220,4563,7,90,1977
614,10,217,4165,8,96,1905
615,12,239,4595,8,104,2040
616,7,176,3460,6,69,1522
617,11,160,3216,6,86,1385
618,6,209,3672,5,69,1719
619,8,148,2826,6,71,1270
620,12,298,6608,7,110,2687
621,13,257,5079,8,114,2251
622,9,237,5876,8,98,2261
623,9,160,2894,6,74,1340
624,7,205,4006,6,73,1767
625,8,311,7026,6,101,2831
626,8,183,3495,6,77,1581
627,7,126,2972,6,65,1168
628,5,142,2910,5,58,1261
629,6,196,4071,6,71,1720
630,6,266,5491,6,80,2319
631,11,212,4164,7,98,1841
632,13,247,4981,7,113,2163
633,15,178,3730,8,108,1573
634,7,223,4410,6,77,1898
635,6,292,6229,6,81,2544
636,9,239,4585,6,91,2031
637,13,214,4764,6,104,1945
638,7,206,4363,6,74,1832
639,7,198,4434,6,82,1808
640,10,230,5173,7,99,2134
641,8,197,4138,6,84,1770
642,8,269,6179,7,96,2510
643,7,239,4800,7,81,2067
644,10,213,4785,7,94,1938
645,7,111,2019,6,56,954
646,5,158,3578,5,63,1458
647,10,120,2814,6,76,1112
648,7,412,9291,6,106,3711
649,6,332,7427,5,96,2967
650,5,317,6669,5,87,2783
651,8,142,2604,6,70,1220
652,9,112,2713,7,77,1117
653,5,241,4729,5,70,2052
654,7,184,3413,5,67,1541
655,9,177,3521,8,85,1570
656,5,158,3490,5,62,1424
657,5,185,4128,5,67,1660
658,9,173,3661,7,83,1542
659,9,252,4680,6,89,2105
660,7,207,4107,6,73,1771
661,14,241,5132,8,122,2195
662,11,138,3033,6,84,1267
663,8,95,2089,5,63,863
664,11,148,3065,8,88,1334
665,8,168,3301,6,73,1439
666,8,178,3555,6,73,1528
667,7,219,4415,6,80,1886
668,8,318,6441,6,97,2699
669,6,298,6346,5,86,2609
670,13,161,3747,7,99,1510
671,5,294,6106,5,80,2562
672,5,108,1933,5,49,906
673,5,111,2383,5,54,1027
674,11,155,3211,7,91,1379
675,8,110,2604,7,62,1039
676,11,122,2362,7,86,1088
677,7,192,3793,6,67,1646
678,6,97,2264,6,52,900
679,15,311,6891,8,134,2793
680,9,176,3357,7,78,1507
681,10,168,3509,6,92,1531
682,7,107,1960,5,62,924
683,5,348,7332,5,85,3018
684,7,123,2472,6,62,1076
685,10,226,5070,7,92,2050
686,10,243,4846,7,90,2108
687,8,140,2894,7,71,1254
688,8,298,6731,6,92,2670
689,6,99,2263,5,56,953
690,7,259,5859,6,82,2359
691,9,115,2104,6,71,990
692,8,349,6871,6,103,2980
693,8,272,5078,7,87,2272
694,5,222,5021,5,73,2011
695,5,237,4647,5,69,2021
696,10,203,4178,9,94,1803
697,5,278,4927,5,75,2289
698,9,196,3517,6,80,1610
699,11,312,6156,7,105,2653
700,8,185,3336,6,76,1514
701,6,162,3991,6,66,1519
702,9,268,5775,6,94,2332
703,5,162,3773,5,68,1534
704,6,171,3669,6,62,1504
705,8,195,4388,6,80,1743
706,9,152,2846,7,77,1309
707,10,194,4422,7,88,1789
708,5,68,1542,5,38,625
709,10,235,4622,7,99,2058
710,6,164,3374,5,66,1445
711,8,238,4630,6,86,2027
712,11,285,6653,7,111,2624
713,7,219,4222,7,81,1873
714,7,156,3199,7,68,1359
715,7,292,6155,6,86,2552
716,9,106,2639,6,71,1032
717,9,227,4907,6,89,2020
718,9,128,2554,7,74,1142
719,5,170,4240,5,66,1607
720,7,141,3219,6,65,1268
721,9,149,2723,7,75,1268
722,13,209,4403,6,102,1870
723,9,155,3047,7,79,1379
724,8,285,5358,6,88,2384
725,9,205,5129,6,87,1964
726,8,142,3571,6,67,1322
727,6,145,2918,6,59,1274
728,8,169,3547,7,78,1503
729,8,229,4242,7,81,1907
730,8,128,2234,6,67,1054
731,8,135,2504,6,66,1117
732,8,289,5920,6,95,2487
733,5,187,3850,5,65,1639
734,11,227,4685,6,97,1966
735,6,259,4921,6,78,2190
736,10,242,5202,6,93,2142
737,9,337,7324,7,105,3003
738,9,447,9175,6,112,3835
739,9,169,3484,6,86,1509
740,7,76,1482,6,53,680
741,8,107,2302,6,65,975
742,9,223,4602,7,87,1955
743,10,162,3741,6,88,1528
744,6,107,2301,5,55,969
745,10,319,6448,6,102,2783
746,7,155,3046,6,69,1342
747,13,180,3912,7,106,1669
748,7,116,3141,5,65,1149
749,9,147,3095,6,77,1312
750,8,110,2557,7,67,1048
751,9,362,7148,6,104,3064
752,12,237,5013,6,105,2104
753,9,364,7487,7,109,3194
754,13,259,6130,7,117,2408
755,6,176,3475,6,63,1494
756,8,274,5651,7,95,2391
757,11,233,5089,6,97,2059
758,7,87,1759,6,59,794
759,8,221,3996,6,77,1847
760,8,279,6709,6,93,2578
761,16,261,5151,7,117,2247
762,6,182,3573,6,67,1549
763,8,151,2990,6,76,1322
764,7,190,4494,5,74,1796
765,8,145,3027,7,68,1278
766,9,192,4123,7,87,1758
767,7,180,3459,6,67,1509
768,12,371,7504,6,127,3199
769,8,209,4280,7,78,1846
770,6,348,6945,5,85,2925
771,8,135,2529,5,67,1143
772,10,231,5183,7,96,2092
773,10,198,4601,5,90,1867
774,10,129,2654,7,80,1144
775,7,178,3694,6,71,1569
776,11,140,2779,7,85,1232
777,9,236,4325,6,89,2000
778,6,125,2072,6,59,1036
779,10,218,4409,6,94,1904
780,7,123,3020,5,61,1158
781,6,158,3669,6,68,1490
782,9,185,3448,6,83,1561
783,6,136,2830,5,55,1191
784,10,255,5750,6,92,2313
785,10,196,4041,7,93,1748
786,7,150,2673,6,65,1248
787,11,177,3980,7,87,1613
788,5,235,5569,5,73,2191
789,6,293,6055,5,84,2525
790,6,101,2224,5,53,907
791,7,107,2232,6,60,968
792,12,196,3906,8,100,1720
793,8,161,2925,6,73,1357
794,8,257,5435,6,91,2288
795,11,281,6312,7,102,2504
796,10,163,3084,7,87,1408
797,6,84,1545,5,50,719
798,7,207,4719,7,77,1875
799,8,117,2346,6,67,1070
800,9,149,2865,6,73,1277
801,6,127,2192,6,56,1045
802,8,266,6088,6,93,2424
803,7,112,2794,6,61,1077
804,8,230,4992,6,84,2063
805,8,116,2736,6,66,1084
806,8,235,4932,7,83,2075
807,6,73,1368,6,49,651
808,6,280,5275,6,73,2327
809,10,222,5027,7,97,2059
810,6,263,5694,5,80,2359
811,9,281,6273,6,103,2552
812,9,117,2263,6,71,1019
813,9,343,6660,7,107,2931
814,10,186,3838,7,86,1625
815,10,215,4599,6,87,1885
816,6,154,2999,6,64,1339
817,14,218,5107,6,115,2028
818,8,125,2898,6,71,1191
819,7,93,1847,6,58,855
820,10,179,4014,7,94,1659
821,7,93,2028,6,57,841
822,8,93,1822,6,63,845
823,8,138,2800,6,66,1197
824,8,162,3781,6,72,1467
825,11,241,4758,6,97,2070
826,5,382,7771,5,86,3246
827,7,90,1812,6,56,825
828,7,140,3052,6,70,1275
829,12,120,2611,7,83,1105
830,6,200,4905,6,75,1890
831,5,189,3674,5,60,1610
832,7,288,6494,7,89,2640
833,9,199,3938,5,84,1704
834,8,205,3792,6,70,1696
835,11,342,7015,6,113,2980
836,10,116,2159,6,76,1018
837,6,102,2009,6,55,895
838,6,113,2012,5,52,943
839,10,284,5871,7,97,2482
840,7,225,4174,6,74,1875
841,5,95,2212,5,45,871
842,7,263,5633,6,82,2341
843,7,215,4602,6,72,1899
844,6,203,4222,6,75,1783
845,5,200,3562,5,58,1638
846,9,154,3278,6,82,1407
847,6,151,2955,6,63,1319
848,7,127,2757,7,65,1174
849,7,231,4152,6,77,1915
850,10,234,5078,7,96,2102
851,6,80,1632,6,48,707
852,6,121,2639,6,58,1101
853,6,71,1623,6,44,662
854,8,205,4490,5,78,1794
855,8,236,4586,7,84,2026
856,5,195,4199,5,63,1740
857,9,268,5109,7,94,2273
858,5,111,2061,5,46,936
859,12,195,4897,7,96,1848
860,8,103,2537,6,61,983
861,7,99,1952,5,58,854
862,6,256,4904,6,73,2158
863,6,185,4301,6,64,1704
864,6,316,6956,5,88,2788
865,8,120,2651,6,63,1075
866,5,68,1184,5,39,575
867,5,198,4029,5,62,1695
868,7,264,4713,6,82,2144
869,7,361,7696,6,101,3201
870,5,91,1824,5,47,815
