Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
143,5,74,801,4,26,275
144,6,59,791,4,28,261
145,3,102,993,3,21,345
146,2,94,1110,2,20,361
147,15,95,1271,5,49,410
148,4,51,470,2,18,177
149,8,63,613,4,31,238
150,7,33,451,3,24,154
151,10,80,746,4,34,293
152,6,99,749,4,29,334
153,9,65,517,4,29,239
154,2,31,269,2,11,107
155,5,75,770,3,24,276
156,8,66,697,4,30,265
157,13,69,827,4,41,285
158,6,81,1025,4,30,333
159,11,140,1320,4,41,488
160,7,65,653,4,31,257
161,6,109,956,3,26,359
162,7,122,1112,3,32,421
163,7,148,1439,4,35,541
164,3,75,752,2,17,263
165,7,140,1389,4,35,506
166,7,123,1093,3,31,415
167,8,77,745,3,29,281
168,7,132,1234,4,33,450
169,6,72,781,4,25,275
170,3,52,574,3,17,189
171,5,35,516,3,18,154
172,4,105,972,3,23,350
173,14,93,1053,4,44,373
174,7,44,413,3,24,166
175,3,85,717,2,19,279
176,6,48,391,3,20,176
177,10,85,833,5,39,327
178,7,119,1124,3,33,413
179,4,46,494,3,19,187
180,4,71,841,3,22,262
181,6,67,551,4,28,239
182,2,126,1263,2,20,456
183,5,46,434,2,21,176
184,2,20,172,2,9,71
185,15,99,1077,5,44,385
186,8,36,262,3,24,131
187,4,61,392,3,19,196
188,3,32,339,2,13,121
189,3,105,910,3,22,349
190,4,149,1471,3,30,546
191,4,189,1663,4,33,651
192,9,84,1071,4,33,353
193,7,40,440,3,23,163
194,7,90,966,4,35,356
195,13,61,616,4,37,238
196,5,57,591,3,20,208
197,5,103,828,4,27,337
198,2,23,202,2,10,87
199,4,43,489,3,18,172
200,4,89,1051,3,25,345
201,6,87,785,4,26,312
202,4,84,651,2,19,272
203,3,78,707,2,17,261
204,5,100,788,5,27,339
205,4,109,940,3,24,358
206,5,113,1145,3,27,397
207,3,32,257,3,13,113
208,7,44,573,3,24,185
209,25,119,1543,4,65,463
210,7,48,483,3,25,183
211,4,80,711,3,21,276
212,2,50,484,2,11,176
213,5,45,406,4,23,179
214,19,108,1132,4,52,396
215,2,25,278,2,11,100
216,7,82,881,4,31,306
217,9,89,1168,5,37,380
218,4,122,962,3,25,387
219,7,62,689,4,29,249
220,2,100,959,2,18,333
221,6,138,1394,2,29,502
222,4,77,589,3,20,250
223,2,85,969,2,20,328
224,3,138,1161,2,23,441
225,5,77,556,2,19,241
226,2,53,358,2,13,164
227,15,127,1151,5,49,451
228,7,60,674,3,24,222
229,2,194,1815,2,28,667
230,8,46,600,3,27,199
231,6,72,645,3,23,250
232,7,45,552,3,23,178
233,5,71,541,2,21,231
234,5,66,654,2,21,232
235,7,64,611,4,30,245
236,2,26,209,2,9,85
237,2,53,562,2,16,199
238,8,70,739,3,28,260
239,6,142,1420,3,31,522
240,2,87,642,2,16,274
241,11,77,906,4,39,322
242,9,58,438,4,31,213
243,7,112,1132,3,28,383
244,5,64,691,2,23,244
245,2,19,179,2,10,74
246,8,177,1706,4,39,634
247,7,69,446,3,23,217
248,4,30,250,3,16,114
249,3,126,1285,2,22,460
250,4,59,466,3,18,193
251,7,78,885,3,32,300
252,5,39,456,3,20,160
253,13,69,655,5,37,268
254,2,97,937,2,17,319
255,7,119,1061,2,27,395
256,6,80,681,3,23,262
257,12,142,1347,5,47,523
258,9,71,698,3,29,249
259,4,18,197,2,13,75
260,6,139,1406,2,30,510
261,5,25,366,3,18,120
262,3,55,677,3,19,218
263,3,59,580,2,17,206
264,2,39,468,2,11,147
265,6,31,528,3,20,147
266,4,62,668,2,19,236
267,3,25,266,2,14,108
268,7,50,567,3,26,204
269,4,23,415,3,14,109
270,8,58,709,4,32,251
271,11,76,779,3,33,275
272,4,61,678,2,21,236
273,6,63,636,3,23,230
274,4,46,393,3,17,167
275,7,58,673,3,27,227
276,2,69,842,2,17,275
277,4,37,402,3,17,140
278,12,74,729,4,39,290
279,3,30,199,3,12,100
280,2,23,198,2,10,85
281,3,51,479,2,15,175
282,6,52,460,4,27,215
283,7,72,877,3,26,289
284,3,54,565,3,17,204
285,6,70,675,3,24,251
286,5,87,962,3,26,336
287,8,99,1101,4,37,398
288,5,56,571,3,22,211
289,3,128,1238,2,22,460
290,6,47,487,3,21,177
291,2,37,444,2,12,139
292,3,54,454,3,17,182
293,6,115,936,4,30,387
294,4,120,955,3,25,380
295,5,57,419,3,20,195
296,6,58,574,4,24,217
297,4,33,229,3,16,116
298,2,138,1322,2,22,493
299,4,45,433,3,18,168
300,2,28,264,2,13,109
301,5,42,621,3,21,184
302,7,37,268,4,24,146
303,4,67,716,3,21,259
304,3,138,1410,2,23,500
305,11,59,526,3,32,209
306,5,88,954,3,27,337
307,5,53,540,3,24,214
308,5,66,791,2,22,253
309,5,144,1323,3,30,508
310,3,55,596,2,17,204
311,3,64,653,2,16,222
312,7,76,705,5,33,302
313,2,58,597,2,16,210
314,11,211,2279,4,53,804
315,4,58,501,2,16,200
316,5,46,350,4,20,161
317,5,24,271,2,16,96
318,3,110,1058,3,23,379
319,2,27,316,2,11,100
320,4,24,151,3,14,89
321,12,83,757,3,37,303
322,7,43,355,3,23,159
323,4,65,532,2,19,218
324,4,114,996,3,25,374
325,2,93,783,2,18,302
326,5,28,353,3,17,118
327,2,28,344,2,13,123
328,7,112,1136,3,29,384
329,2,24,321,2,11,96
330,2,18,294,2,10,86
331,3,26,226,2,12,90
332,4,44,314,3,17,144
333,3,75,559,3,17,236
334,12,77,875,3,36,285
335,2,43,393,2,13,152
336,5,58,640,3,23,221
337,2,33,281,2,11,114
338,7,70,825,3,28,283
339,2,63,883,2,19,258
340,3,28,352,2,13,117
341,5,57,437,2,20,189
342,3,144,1412,2,26,515
343,11,134,1194,4,40,462
344,3,133,1327,3,24,484
345,9,45,575,4,30,204
346,2,26,245,2,10,94
347,3,67,568,2,18,222
348,5,76,607,3,22,252
349,7,43,384,3,23,155
350,4,49,561,3,20,200
351,6,30,292,3,21,129
352,8,109,1048,4,32,393
353,8,50,512,3,28,198
354,10,65,633,3,29,232
355,7,45,379,4,25,179
356,3,46,515,3,16,174
357,8,62,730,3,28,252
358,10,55,531,3,30,214
359,2,22,270,2,10,89
360,4,38,379,2,15,139
361,7,41,386,3,25,161
362,2,70,522,2,13,218
363,5,42,527,3,22,185
364,9,86,682,4,31,303
365,2,39,424,2,11,148
366,2,33,332,2,12,118
367,4,31,444,3,16,131
368,3,89,754,3,20,294
369,7,74,537,3,24,244
370,8,68,696,4,28,262
371,3,27,299,2,11,101
372,5,63,756,2,20,243
373,2,16,371,2,10,90
374,3,75,804,2,20,275
375,6,83,941,4,30,339
376,3,70,771,3,21,260
377,3,30,236,3,13,114
378,5,49,445,3,20,179
379,6,39,439,3,19,154
380,4,22,367,3,16,111
381,5,40,355,3,20,149
382,2,194,1815,2,28,667
383,3,87,741,2,18,283
384,2,36,366,2,12,133
385,3,47,472,3,17,171
386,6,141,1330,3,33,514
387,4,26,364,3,16,116
388,5,52,490,2,20,191
389,2,21,216,2,8,73
390,2,19,250,2,9,82
391,7,59,608,3,25,221
392,2,39,323,2,12,132
393,3,128,1285,2,22,463
394,2,49,420,2,11,157
395,3,33,401,2,13,127
396,2,15,116,2,8,59
397,3,26,170,3,12,90
398,8,98,1153,3,33,381
399,6,53,531,4,27,218
400,6,36,398,3,19,133
401,2,30,384,2,10,118
402,6,36,455,2,19,147
403,2,84,808,2,15,279
404,2,40,503,2,13,158
405,4,65,521,3,18,212
406,11,106,1367,3,42,436
407,4,28,257,3,16,110
408,2,27,294,2,11,103
409,3,48,531,2,14,171
410,6,31,308,3,20,130
411,7,68,857,3,24,268
412,3,17,204,2,10,70
413,2,28,220,2,10,95
414,4,41,449,3,17,163
415,10,77,904,3,31,296
416,6,103,1007,3,26,353
417,7,44,440,4,24,173
418,4,85,765,3,24,307
419,3,20,256,2,12,90
420,5,29,280,3,16,113
421,4,88,1118,3,28,359
422,3,43,493,3,18,172
423,6,53,410,3,20,178
424,4,47,451,2,19,176
425,2,34,380,2,11,129
426,4,61,525,4,21,216
427,4,71,941,3,23,287
428,3,93,1063,2,23,358
429,3,16,202,3,12,72
430,3,31,288,2,13,110
431,11,55,619,3,31,208
432,4,17,121,2,12,63
433,2,26,358,2,10,105
434,5,95,772,3,25,310
435,3,29,412,3,16,132
436,5,61,736,2,21,232
437,7,113,1128,3,29,387
438,5,67,731,3,22,247
439,3,22,217,2,11,84
440,10,59,724,3,28,230
441,8,62,489,3,25,208
442,5,32,320,4,20,135
443,2,41,426,2,12,144
444,10,51,563,3,28,196
445,7,48,377,3,24,174
446,6,27,201,3,20,104
447,10,71,686,4,33,277
448,5,112,1149,4,28,411
449,4,21,216,3,15,92
450,3,19,197,2,11,71
451,2,112,1163,2,20,391
452,4,29,230,3,15,107
453,2,41,456,2,15,166
454,3,39,434,3,14,146
455,2,71,521,2,14,225
456,3,133,1401,3,23,488
457,2,18,143,2,8,61
458,16,119,1539,4,51,492
459,3,41,342,2,13,140
460,2,40,336,2,13,140
461,3,19,198,2,10,71
462,2,10,205,2,7,52
463,4,32,403,3,17,141
464,6,151,1531,3,32,548
465,3,87,591,2,16,259
466,3,68,840,2,17,266
467,7,42,434,4,26,176
468,3,96,894,2,19,318
469,3,33,351,2,13,117
470,6,62,662,3,24,224
471,2,28,300,2,11,109
472,5,57,636,4,22,212
473,3,132,1272,2,22,476
474,4,43,452,3,20,178
475,6,52,664,3,22,202
476,4,130,1276,2,26,451
477,2,15,220,2,9,71
478,7,36,367,3,20,139
479,2,29,258,2,11,106
480,3,116,948,2,21,366
481,3,42,473,2,15,159
482,7,37,489,3,23,157
483,2,52,651,2,13,211
484,3,16,156,2,10,61
485,4,37,367,3,17,139
486,7,71,800,3,27,280
487,5,141,1311,3,29,503
488,3,27,344,2,12,107
489,10,105,1251,3,40,413
490,6,114,1037,3,28,380
491,5,32,393,2,17,128
492,6,106,958,3,26,353
493,4,79,1009,3,22,315
494,3,58,645,3,18,219
495,5,34,441,3,18,137
496,8,44,289,3,23,144
497,2,14,231,2,9,68
498,2,67,568,2,17,231
499,2,47,427,2,13,163
500,3,25,143,2,11,78
501,3,59,654,2,16,227
502,2,25,190,2,10,87
503,5,75,944,3,24,304
504,2,43,461,2,11,156
505,2,12,106,2,8,47
506,2,98,924,2,18,322
507,5,30,277,3,18,120
508,6,77,635,2,23,257
509,5,112,1306,3,31,435
510,3,14,115,3,11,57
511,3,91,849,3,20,305
512,7,65,717,3,26,241
513,4,50,553,3,20,195
514,4,36,313,2,15,131
515,3,22,292,2,10,90
516,5,27,177,3,18,102
517,2,24,267,2,10,90
518,9,53,776,3,30,236
519,3,25,270,3,12,95
520,2,27,327,2,12,106
521,4,94,911,2,20,314
522,9,139,1402,4,39,516
523,5,29,231,4,19,115
524,4,49,513,4,21,191
525,4,166,1510,2,28,542
526,3,42,476,2,14,152
527,3,87,1034,2,23,339
528,4,37,290,2,16,127
529,2,13,131,2,9,52
530,4,23,201,3,14,87
531,3,24,154,2,12,76
532,2,14,160,2,10,70
533,2,40,369,2,12,136
534,2,18,215,2,7,64
535,2,51,672,2,15,199
536,3,23,297,3,11,100
537,7,71,823,3,27,284
538,3,23,245,2,13,92
539,2,19,369,2,12,102
540,2,20,182,2,8,77
541,2,17,153,2,7,54
542,3,63,688,2,16,235
543,2,73,513,2,14,219
544,2,14,220,2,9,67
545,2,46,402,2,14,162
546,3,27,485,2,14,132
547,2,22,228,2,11,90
548,2,14,165,2,8,64
549,5,24,319,3,17,108
550,4,23,241,3,15,97
551,2,55,523,2,13,191
552,4,29,206,3,17,108
553,5,99,919,3,23,333
554,4,23,151,3,15,85
555,4,66,655,3,21,238
556,2,13,91,2,7,45
557,3,16,120,3,11,65
558,3,59,504,3,15,197
559,7,73,844,3,27,273
560,3,23,390,3,12,108
561,5,29,330,3,16,113
562,5,40,385,3,18,148
563,7,39,451,3,21,147
564,3,92,888,2,18,309
565,4,40,469,3,17,160
566,6,149,1453,3,32,549
567,9,64,700,3,29,239
568,3,93,854,2,19,309
569,3,18,141,2,12,73
570,2,63,541,2,13,212
571,5,45,353,3,18,162
572,5,30,284,3,18,121
573,3,100,919,2,19,334
574,4,21,122,3,16,80
575,3,79,557,3,18,250
576,4,24,358,3,15,105
577,5,45,463,3,19,175
578,2,15,222,2,8,69
579,4,68,606,3,18,231
580,7,53,637,3,25,218
581,4,95,891,2,20,314
582,4,88,906,2,20,303
583,6,31,504,3,19,139
584,3,36,274,2,12,118
585,4,98,921,2,21,329
586,3,20,297,2,11,87
587,4,104,1043,3,22,353
588,4,53,402,2,17,173
589,6,33,261,3,20,123
590,3,25,213,2,12,88
591,3,27,166,3,12,91
592,2,11,120,2,7,46
593,3,27,211,2,11,95
594,6,67,763,3,24,263
595,2,19,159,2,9,65
596,3,80,881,3,20,301
597,3,21,130,3,12,75
598,7,67,982,3,28,295
599,13,61,641,3,36,236
600,5,27,202,3,16,98
601,2,49,483,2,12,169
602,2,15,100,2,8,55
603,3,78,917,2,21,309
604,2,45,558,2,13,166
605,3,23,139,2,12,74
606,3,38,453,2,16,159
607,2,10,102,2,7,41
608,4,53,415,2,17,177
609,2,29,318,2,10,105
610,3,64,748,3,19,240
611,4,107,1100,3,27,379
612,3,41,615,2,13,168
613,3,16,150,2,10,60
614,2,50,617,2,14,190
615,3,74,829,3,21,290
616,4,69,571,2,18,222
617,2,22,176,2,9,76
618,4,26,265,3,17,113
619,2,15,144,2,7,55
620,4,27,219,2,14,96
621,2,22,198,2,9,75
622,3,138,1316,3,24,493
623,5,64,581,2,21,218
624,3,44,409,2,14,147
625,4,47,376,3,17,162
626,4,52,521,3,19,198
627,2,33,359,2,12,126
628,3,21,168,2,10,75
629,5,63,576,2,18,218
630,4,50,328,3,17,164
631,3,69,545,3,16,224
632,2,38,468,2,13,149
633,3,47,423,3,16,167
634,4,19,189,3,13,79
635,6,28,311,3,18,118
636,2,15,163,2,7,55
637,3,90,754,3,19,294
638,3,19,228,3,13,87
639,2,92,1181,2,22,368
640,2,19,118,2,9,66
641,5,56,377,3,19,174
642,4,57,385,3,17,184
643,2,21,271,2,11,96
644,4,140,1390,3,27,509
645,2,13,78,2,8,48
646,2,40,603,2,14,179
647,5,34,341,2,16,130
648,5,43,404,3,21,168
649,2,122,1297,2,20,455
650,2,29,374,2,10,113
651,6,35,243,3,22,130
652,4,43,430,2,16,154
653,6,33,334,3,19,127
654,3,39,456,2,14,154
655,5,99,899,3,23,326
656,3,31,237,3,13,111
657,2,10,160,2,8,49
658,4,160,1440,3,28,552
659,2,26,197,2,8,80
660,2,22,187,2,11,84
661,2,42,308,2,10,130
662,2,18,175,2,8,65
663,5,40,409,2,17,142
664,4,65,593,3,18,232
665,4,49,449,3,18,174
666,2,12,127,2,8,54
667,3,40,432,2,14,152
668,2,14,108,2,8,50
669,2,20,139,2,9,70
670,6,48,403,3,21,166
671,3,23,217,2,12,87
672,2,31,377,2,11,125
673,5,38,331,3,18,139
674,4,40,406,2,18,160
675,2,26,259,2,11,102
676,5,23,215,3,15,87
677,4,19,275,3,15,92
678,5,41,422,3,18,149
679,4,56,601,3,22,215
680,2,92,807,2,18,306
681,5,23,227,2,16,88
682,4,129,1237,3,26,468
683,2,30,292,2,12,107
684,6,40,318,3,21,146
685,4,23,343,2,14,101
686,4,51,479,3,20,189
687,4,21,196,2,13,77
688,6,104,1018,3,25,354
689,3,65,419,2,14,189
690,2,17,192,2,8,66
691,2,14,149,2,8,55
692,4,55,505,3,17,197
693,4,68,592,4,19,233
694,6,41,335,3,21,152
695,2,94,848,2,16,303
696,3,71,829,2,19,280
697,4,25,159,3,16,88
698,7,61,701,3,26,230
699,2,194,1815,2,28,667
700,6,33,243,3,21,119
701,4,29,395,2,15,116
702,2,30,253,2,10,110
703,4,21,285,3,15,103
704,5,48,429,2,18,163
705,4,48,505,2,18,177
706,6,48,570,3,21,185
707,2,14,216,2,8,60
708,6,26,187,3,19,101
709,5,155,1426,2,29,544
710,2,21,157,2,10,72
711,5,32,306,3,18,126
712,3,22,249,2,11,88
713,6,74,545,2,21,234
714,2,32,294,2,10,118
715,3,39,367,2,14,136
716,2,24,155,2,8,72
717,6,71,635,2,22,239
718,2,18,108,2,8,59
719,2,25,308,2,11,103
720,2,11,55,2,7,35
721,2,22,205,2,11,92
722,2,17,312,2,12,95
723,4,129,1241,2,25,464
724,4,37,292,3,17,127
725,7,149,1413,3,33,537
726,5,56,408,3,19,188
727,3,30,319,3,14,115
728,3,47,479,3,18,179
729,4,38,336,2,17,133
730,5,62,737,3,22,250
731,6,27,268,3,19,113
732,2,32,364,2,12,126
733,3,128,1206,3,23,457
734,3,97,886,3,23,334
735,3,34,376,2,13,127
736,6,35,411,3,20,145
737,3,63,686,2,16,235
738,2,12,103,2,8,49
739,6,62,434,3,20,197
740,2,30,250,2,11,106
741,4,18,158,3,13,72
742,2,32,214,2,8,93
743,3,40,351,2,14,136
744,3,17,180,2,11,68
745,3,31,322,3,12,123
746,3,19,150,3,12,72
747,4,45,477,3,19,177
748,3,18,216,2,10,75
749,3,15,170,2,10,61
750,5,44,384,3,16,145
751,3,16,113,3,12,64
752,4,24,165,3,15,89
753,5,33,255,3,17,113
754,5,25,171,2,15,89
755,5,21,168,2,14,71
756,2,13,144,2,8,56
757,2,91,862,2,16,299
758,5,39,315,3,18,137
759,4,19,190,3,14,77
760,2,138,1550,2,25,524
761,3,42,481,3,19,165
762,4,29,197,2,13,95
763,2,24,303,2,10,94
764,3,24,315,3,15,115
765,2,40,457,2,15,164
766,2,85,810,2,17,286
767,2,32,394,2,12,126
768,2,12,119,2,6,48
769,4,22,277,3,14,95
770,4,15,138,2,12,60
771,4,31,254,3,15,108
772,2,17,187,2,10,72
773,3,22,244,3,12,89
774,3,37,286,3,14,128
775,3,43,415,2,13,150
776,2,44,416,2,14,158
777,4,21,201,3,15,92
778,3,21,221,2,11,82
779,2,48,712,2,15,211
780,2,28,224,2,9,91
781,2,22,156,2,9,73
782,2,21,228,2,10,82
783,2,27,273,2,12,110
784,3,16,98,2,10,58
785,2,15,161,2,9,59
786,2,70,501,2,13,216
787,2,40,501,2,13,156
788,3,18,121,2,10,60
789,6,53,504,4,22,203
790,3,24,307,3,13,104
791,4,41,426,2,17,160
792,2,14,127,2,8,53
793,2,14,100,2,7,47
794,4,71,705,3,21,258
795,3,60,538,3,17,204
796,3,16,210,2,10,74
797,2,43,479,2,13,157
798,7,89,708,3,25,290
799,5,43,548,3,22,182
800,5,33,448,3,18,145
801,3,43,416,3,14,152
802,2,106,1161,2,21,398
803,2,127,1208,2,21,456
804,2,35,284,2,11,120
805,2,23,219,2,9,84
806,2,88,840,2,16,295
807,3,97,1027,3,21,357
808,8,60,693,4,28,252
809,2,31,303,2,10,107
810,5,22,308,2,15,94
811,3,17,104,3,11,62
812,2,50,555,2,15,193
813,4,40,360,3,15,139
814,2,9,176,2,7,47
815,3,37,363,2,13,126
816,5,38,423,3,19,150
817,2,19,169,2,8,71
818,2,9,103,2,7,41
819,2,20,202,2,9,77
820,2,8,76,2,6,32
821,5,27,220,2,16,100
822,3,73,534,2,15,226
823,4,18,230,2,14,81
824,4,21,256,2,13,87
825,2,50,469,2,13,169
826,2,13,118,2,7,51
827,3,65,468,2,15,206
828,5,78,803,3,23,292
829,5,98,973,2,23,335
830,3,16,109,3,11,63
831,2,126,1232,2,20,453
832,2,16,79,2,8,51
833,2,8,64,2,6,31
834,2,22,223,2,9,80
835,2,11,65,2,7,36
836,2,48,322,2,11,143
837,5,59,616,3,23,223
838,3,29,316,3,12,109
839,2,13,263,2,8,63
840,2,10,96,2,6,38
841,2,37,453,2,13,147
842,2,26,288,2,9,96
843,4,64,533,2,17,208
844,2,9,97,2,6,33
845,3,17,121,3,12,64
846,2,23,280,2,10,92
847,2,45,466,2,13,161
848,3,57,572,2,15,203
849,4,77,889,3,23,306
850,2,69,828,2,20,268
851,3,76,554,2,16,239
852,5,24,236,2,15,96
853,6,37,290,3,20,133
854,2,10,122,2,6,45
855,2,19,200,2,9,71
856,2,22,272,2,9,84
857,2,61,550,2,14,216
858,2,17,146,2,7,62
859,2,16,174,2,9,64
860,2,23,344,2,10,94
861,2,17,192,2,9,68
862,2,72,509,2,13,221
863,2,13,99,2,7,48
864,2,11,68,2,7,38
865,3,14,104,2,10,53
866,3,66,848,2,20,271
867,2,35,411,2,12,134
868,6,31,264,4,19,125
869,5,56,574,2,20,202
870,2,20,214,2,9,72
871,2,66,828,2,16,267
872,3,21,144,2,10,67
873,5,29,161,2,15,93
874,3,32,409,2,15,133
875,2,12,99,2,6,43
876,4,28,292,2,14,101
877,3,23,193,2,11,82
878,2,37,350,2,10,124
879,2,40,279,2,10,122
880,3,20,200,2,10,71
881,2,25,336,2,11,99
882,2,15,134,2,8,56
883,2,18,241,2,9,77
884,2,14,162,2,7,53
885,3,146,1560,2,27,523
886,5,23,326,2,15,102
887,4,54,490,3,16,186
888,2,35,440,2,11,143
889,4,53,494,3,17,185
890,2,51,507,2,14,180
891,2,38,368,2,10,128
892,3,20,262,2,13,89
893,5,50,362,3,19,169
894,7,64,784,3,27,263
895,7,58,397,3,23,185
896,6,42,497,3,24,181
897,2,22,246,2,9,83
898,3,16,142,3,12,67
899,3,43,469,3,16,160
900,2,55,539,2,15,194
901,2,16,137,2,8,59
902,2,37,353,2,12,127
903,2,12,211,2,7,55
904,2,26,334,2,11,100
905,3,20,150,3,12,78
906,4,47,418,2,15,150
907,2,49,462,2,12,168
908,3,27,197,2,12,95
909,3,14,126,2,10,56
910,2,22,281,2,9,84
911,3,67,550,2,16,212
912,2,26,233,2,9,84
913,3,15,144,2,10,57
914,2,14,120,2,10,61
915,8,46,457,2,24,163
916,2,16,150,2,9,60
917,2,21,168,2,8,72
918,2,125,1229,2,20,449
919,2,122,1177,2,20,440
920,5,26,208,3,16,96
921,2,13,158,2,8,55
922,2,11,174,2,7,49
923,2,42,362,2,12,143
924,2,21,177,2,9,71
925,5,25,202,2,14,84
926,2,11,102,2,8,45
927,2,33,362,2,10,120
928,3,21,119,3,12,76
929,5,21,147,2,15,75
930,4,24,158,3,15,92
931,3,15,120,2,11,57
932,5,54,356,3,19,168
933,3,72,652,3,19,248
934,2,11,164,2,7,48
935,2,17,152,2,8,60
936,3,61,672,2,16,229
937,2,19,144,2,8,67
938,4,22,128,2,13,72
939,4,19,248,2,13,83
940,3,16,227,2,10,72
941,2,129,1242,2,21,465
942,2,14,182,2,9,62
943,2,35,417,2,11,139
944,6,92,990,3,28,349
945,2,27,202,2,9,91
946,2,27,291,2,9,94
947,7,36,303,3,20,129
948,2,54,568,2,17,204
949,4,20,181,2,14,80
950,3,21,163,2,11,74
951,4,24,174,2,13,83
952,2,13,107,2,7,44
953,2,24,236,2,10,83
954,4,80,826,3,23,291
955,2,66,637,2,15,231
956,3,22,213,2,11,89
957,2,11,126,2,6,40
958,6,25,284,2,16,95
959,2,19,100,2,8,58
960,3,136,1311,2,24,485
961,2,48,476,2,12,166
962,3,13,235,2,10,64
963,2,11,88,2,7,44
964,2,11,110,2,6,44
965,3,66,483,3,17,215
966,5,42,405,3,18,154
967,2,27,162,2,9,81
968,3,57,763,2,17,235
969,3,136,1331,2,25,492
970,3,50,568,2,16,185
971,2,42,345,2,11,131
972,4,49,423,3,19,177
973,4,30,279,3,14,116
974,3,20,420,2,13,107
975,2,48,357,2,11,153
976,3,23,154,3,11,79
977,2,14,159,2,10,60
978,2,54,502,2,12,185
